Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
O0Ia0,160.0,3.41e+07,8.02e+01,50000,-0.35,-9.5,-4.58,-14.08,144166255
O0Ia,150.0,2.59e+06,2.21e+01,50000,-0.35,-6.7,-4.58,-11.28,144166255
O0Ib,140.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-4.58,-11.08,144166255
O0II,130.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-4.58,-11.08,144166255
O0III,120.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-4.58,-11.08,144166255
O0IV,110.0,1.36e+06,1.60e+01,50000,-0.35,-6.0,-4.58,-10.58,144166255
O0V,100.0,1.24e+06,1.53e+01,50000,-0.35,-5.9,-4.58,-10.48,144166255
O0VI,60.0,9.40e+05,1.33e+01,50000,-0.35,-5.6,-4.58,-10.18,144166255
O1Ia0,159.7,2.71e+07,7.88e+01,47600,-0.35,-9.4,-4.43,-13.83,146168255
O1Ia,149.3,2.25e+06,2.27e+01,47600,-0.35,-6.7,-4.43,-11.13,146168255
O1Ib,139.0,1.87e+06,2.07e+01,47600,-0.35,-6.5,-4.43,-10.93,146168255
O1II,128.6,1.73e+06,1.98e+01,47800,-0.35,-6.4,-4.44,-10.84,146168255
O1III,118.2,1.58e+06,1.89e+01,47800,-0.35,-6.3,-4.44,-10.74,146168255
O1IV,107.9,1.09e+06,1.57e+01,47800,-0.35,-5.9,-4.44,-10.34,145167255
O1V,97.5,9.94e+05,1.50e+01,47800,-0.35,-5.8,-4.44,-10.24,146168255
O1VI,37.0,7.54e+05,1.31e+01,47800,-0.35,-5.5,-4.44,-9.94,146168255
O2Ia0,159.4,2.14e+07,7.77e+01,45200,-0.35,-9.3,-4.28,-13.58,148170255
O2Ia,148.6,2.14e+06,2.46e+01,45200,-0.35,-6.8,-4.28,-11.08,148170255
O2Ib,137.9,1.62e+06,2.14e+01,45200,-0.35,-6.5,-4.28,-10.78,148170255
O2II,127.2,1.52e+06,2.03e+01,45600,-0.35,-6.4,-4.30,-10.70,148170255
O2III,116.5,1.26e+06,1.85e+01,45600,-0.35,-6.2,-4.30,-10.50,148169255
O2IV,105.7,8.72e+05,1.54e+01,45600,-0.35,-5.8,-4.30,-10.10,146169255
